BTCUSDT,ETHUSDT
62896.48000000,4603.35000000
61395.01000000,4532.32000000
60937.12000000,4474.24000000
61470.61000000,4518.00000000
63273.59000000,4612.59000000
67525.83000000,4807.98000000
66947.66000000,4732.33000000
64882.43000000,4628.78000000
64774.26000000,4719.00000000
64122.23000000,4665.46000000
64380.00000000,4644.28000000
65519.10000000,4626.50000000
63606.74000000,4563.78000000
60058.87000000,4209.76000000
60344.87000000,4287.80000000
56891.62000000,3996.90000000
58052.24000000,4294.76000000
59707.51000000,4412.17000000
58622.02000000,4258.31000000
56247.18000000,4085.97000000
57541.27000000,4339.44000000
57138.29000000,4269.36000000
58960.36000000,4524.85000000
53726.53000000,4041.20000000
54721.03000000,4095.29000000
57274.88000000,4294.78000000
57776.25000000,4444.53000000
56950.56000000,4630.26000000
57184.07000000,4582.95000000
56480.34000000,4511.21000000
53601.05000000,4215.73000000
49152.47000000,4117.25000000
49396.33000000,4196.44000000
50441.92000000,4347.59000000
50588.95000000,4306.40000000
50471.19000000,4436.91000000
47545.59000000,4105.64000000
47140.54000000,3897.94000000
49389.99000000,4089.37000000
50053.90000000,4130.00000000
46702.75000000,3781.93000000
48343.28000000,3858.99000000
48864.98000000,4019.08000000
47632.38000000,3958.11000000
46131.20000000,3875.42000000
46834.48000000,3959.93000000
46681.23000000,3924.14000000
46914.16000000,3944.73000000
48889.88000000,4014.15000000
48588.16000000,3979.51000000
50838.81000000,4111.41000000
50820.00000000,4046.36000000
50399.66000000,4094.83000000
50775.49000000,4063.56000000
50701.44000000,4037.23000000
47543.74000000,3792.75000000
46464.66000000,3630.19000000
47120.87000000,3709.27000000
46216.93000000,3676.23000000
47722.65000000,3765.54000000
47286.18000000,3828.27000000
46446.10000000,3765.89000000
45832.01000000,3785.11000000
43451.13000000,3540.63000000
43082.31000000,3406.81000000
41566.48000000,3199.24000000
41679.74000000,3080.95000000
41864.62000000,3151.97000000
41822.49000000,3082.68000000
42729.29000000,3239.72000000
43902.66000000,3371.26000000
42560.11000000,3240.61000000
43059.96000000,3307.42000000
43084.29000000,3326.04000000
43071.66000000,3346.88000000
42201.62000000,3209.67000000
42352.12000000,3159.85000000
41660.01000000,3084.02000000
40680.91000000,3001.48000000
36445.31000000,2568.15000000
35071.42000000,2412.18000000
36244.55000000,2539.01000000
36660.35000000,2439.29000000
36958.32000000,2458.83000000
36809.34000000,2462.99000000
37160.10000000,2424.25000000
37716.56000000,2544.99000000
38166.84000000,2601.43000000
37881.76000000,2601.68000000
38466.90000000,2686.94000000
38694.59000000,2787.23000000
36896.36000000,2680.67000000
37311.61000000,2695.46000000
41574.25000000,2994.99000000
41382.59000000,3012.65000000
42380.87000000,3054.99000000
43839.99000000,3139.77000000
44042.99000000,3116.69000000
44372.72000000,3243.94000000
43495.44000000,3072.49000000
42373.73000000,2927.54000000
42217.87000000,2918.88000000
42053.66000000,2871.13000000
42535.94000000,2929.75000000
44544.86000000,3183.52000000
43873.56000000,3122.30000000
40515.70000000,2891.87000000
39974.44000000,2779.48000000
40079.17000000,2763.63000000
38386.89000000,2621.99000000
37008.16000000,2568.02000000
38230.33000000,2636.29000000
37250.01000000,2579.71000000
38327.21000000,2596.20000000
39219.17000000,2768.49000000
39116.72000000,2779.47000000
37699.07000000,2616.79000000
43160.00000000,2920.95000000
44421.20000000,2976.33000000
43892.98000000,2947.30000000
42454.00000000,2833.99000000
39148.66000000,2622.10000000
39397.96000000,2665.15000000
38420.81000000,2551.29000000
37988.00000000,2491.12000000
38730.63000000,2575.97000000
41941.71000000,2726.98000000
39422.00000000,2606.70000000
38729.57000000,2556.86000000
38807.36000000,2568.80000000
37777.34000000,2515.65000000
39671.37000000,2589.41000000
39280.33000000,2617.73000000
41114.00000000,2773.81000000
40917.90000000,2811.92000000
41757.51000000,2938.92000000
42201.13000000,2950.84000000
41262.11000000,2861.38000000
41002.25000000,2890.03000000
42364.13000000,2969.64000000
42882.76000000,3036.00000000
43991.46000000,3110.76000000
44313.16000000,3102.14000000
44511.27000000,3145.00000000
46827.76000000,3295.65000000
47122.21000000,3332.92000000
47434.80000000,3400.51000000
47067.99000000,3385.79000000
45510.34000000,3281.51000000
46283.49000000,3455.21000000
45811.00000000,3443.77000000
46407.35000000,3521.91000000
46580.51000000,3519.50000000
45497.55000000,3406.99000000
43170.47000000,3168.51000000
43444.19000000,3227.19000000
42252.01000000,3192.39000000
42753.97000000,3258.57000000
42158.85000000,3203.04000000
39530.45000000,2979.74000000
40074.94000000,3027.66000000
41147.79000000,3118.28000000
39942.38000000,3021.98000000
40551.90000000,3040.56000000
40378.71000000,3059.30000000
39678.12000000,2988.06000000
40801.13000000,3055.56000000
41493.18000000,3101.77000000
41358.19000000,3076.04000000
40480.01000000,2983.58000000
39709.18000000,2962.39000000
39441.60000000,2933.03000000
39450.13000000,2921.00000000
40426.08000000,3006.62000000
38112.65000000,2809.67000000
39235.72000000,2888.96000000
39742.07000000,2936.93000000
38596.11000000,2817.13000000
37630.80000000,2726.66000000
38468.35000000,2824.81000000
38525.16000000,2856.54000000
37728.95000000,2781.70000000
39690.00000000,2940.64000000
36552.97000000,2747.97000000
36013.77000000,2692.85000000
35472.39000000,2635.34000000
34038.40000000,2519.71000000
30076.31000000,2228.55000000
31017.10000000,2342.05000000
29103.94000000,2084.99000000
29029.75000000,1960.22000000
29287.05000000,2009.69000000
30086.74000000,2056.48000000
31328.89000000,2145.29000000
29874.01000000,2023.66000000
30444.93000000,2090.72000000
28715.32000000,1915.11000000
30319.23000000,2019.55000000
29201.01000000,1959.08000000
29445.06000000,1975.07000000
30293.94000000,2043.19000000
29109.15000000,1973.32000000
29654.58000000,1979.41000000
29542.15000000,1942.63000000
29201.35000000,1792.23000000
28629.80000000,1727.27000000
29031.33000000,1792.22000000
29468.10000000,1813.64000000
31734.22000000,1998.78000000
31801.04000000,1941.90000000
29805.83000000,1817.95000000
30452.62000000,1834.08000000
29700.21000000,1775.12000000
29864.04000000,1804.58000000
29919.21000000,1806.23000000
31373.10000000,1859.84000000
31125.33000000,1813.33000000
30204.77000000,1791.88000000
30109.93000000,1788.81000000
29091.88000000,1662.91000000
28424.70000000,1532.89000000
26574.53000000,1434.84000000
22487.41000000,1209.82000000
22136.41000000,1208.90000000
22583.72000000,1237.52000000
20401.31000000,1068.50000000
20468.81000000,1086.94000000
18970.79000000,995.13000000
20574.00000000,1128.53000000
20573.89000000,1128.24000000
20723.52000000,1125.85000000
19987.99000000,1050.19000000
21110.13000000,1144.72000000
21237.69000000,1225.02000000
21491.19000000,1242.36000000
21038.07000000,1197.79000000
20742.56000000,1192.51000000
20281.29000000,1144.05000000
20123.01000000,1100.21000000
19942.21000000,1071.01000000
19279.80000000,1059.73000000
19252.81000000,1067.01000000
19315.83000000,1074.26000000
20236.71000000,1151.00000000
20175.83000000,1132.50000000
20564.51000000,1186.57000000
21624.98000000,1237.49000000
21594.75000000,1214.04000000
21591.83000000,1217.02000000
20862.47000000,1168.36000000
19963.61000000,1096.40000000
19328.75000000,1038.58000000
20234.87000000,1115.00000000
20588.84000000,1193.42000000
20830.04000000,1231.25000000
21195.60000000,1355.85000000
20798.16000000,1338.65000000
22432.58000000,1581.04000000
23396.62000000,1542.32000000
23223.30000000,1521.58000000
23152.19000000,1575.45000000
22684.83000000,1535.27000000
22451.07000000,1548.67000000
22579.68000000,1597.70000000
21310.90000000,1440.79000000
21254.67000000,1449.12000000
22952.45000000,1635.74000000
23842.93000000,1724.52000000
23773.75000000,1721.68000000
23643.51000000,1697.00000000
23293.32000000,1678.12000000
23268.01000000,1630.28000000
22987.79000000,1630.91000000
22818.37000000,1618.16000000
22622.98000000,1607.96000000
23312.42000000,1736.81000000
22954.21000000,1690.60000000
23174.39000000,1700.19000000
23810.00000000,1777.05000000
23149.95000000,1702.76000000
23954.05000000,1853.57000000
23934.39000000,1880.19000000
24403.68000000,1958.28000000
24441.38000000,1983.55000000
24305.24000000,1935.31000000
24094.82000000,1899.06000000
23854.74000000,1876.67000000
23342.66000000,1834.25000000
23191.20000000,1846.39000000
20834.39000000,1609.01000000
21140.07000000,1576.04000000
21515.61000000,1618.13000000
21399.83000000,1624.66000000
21529.12000000,1665.41000000
21368.08000000,1656.56000000
21559.04000000,1695.11000000
20241.05000000,1508.18000000
20037.60000000,1491.06000000
19555.61000000,1426.76000000
20285.73000000,1551.80000000
19811.66000000,1524.59000000
20050.02000000,1554.10000000
20131.46000000,1586.16000000
19951.86000000,1575.35000000
19831.90000000,1557.46000000
20000.30000000,1579.28000000
19796.84000000,1617.80000000
18790.61000000,1559.01000000
19292.84000000,1630.00000000
19319.77000000,1635.37000000
21360.11000000,1718.23000000
21648.34000000,1774.12000000
21826.87000000,1766.11000000
22395.74000000,1716.37000000
20173.57000000,1574.40000000
20226.71000000,1638.39000000
19701.88000000,1472.75000000
19803.30000000,1433.90000000
20113.62000000,1468.83000000
19416.18000000,1334.51000000
19537.02000000,1375.98000000
18875.00000000,1322.93000000
18461.36000000,1245.78000000
19401.63000000,1326.46000000
19289.91000000,1327.25000000
18920.50000000,1317.13000000
18807.38000000,1294.63000000
19227.82000000,1336.17000000
19079.13000000,1328.02000000
19412.82000000,1337.20000000
19591.51000000,1335.70000000
19422.61000000,1328.72000000
19310.95000000,1311.79000000
19056.80000000,1276.72000000
19629.08000000,1323.09000000
20337.82000000,1361.49000000
20158.26000000,1352.20000000
19960.67000000,1352.06000000
19530.09000000,1331.10000000
19417.96000000,1315.48000000
19439.02000000,1323.13000000
19131.87000000,1290.03000000
19060.00000000,1280.11000000
19155.53000000,1294.44000000
19375.13000000,1287.08000000
19176.93000000,1296.27000000
19069.39000000,1274.92000000
19262.98000000,1305.95000000
19549.86000000,1331.40000000
19327.44000000,1310.71000000
19123.97000000,1285.09000000
19041.92000000,1282.57000000
19164.37000000,1299.75000000
19204.35000000,1313.61000000
19570.40000000,1364.20000000
19329.72000000,1343.61000000
20080.07000000,1459.74000000
20771.59000000,1566.10000000
20295.11000000,1514.05000000
20591.84000000,1554.41000000
20809.67000000,1619.55000000
20627.48000000,1590.44000000
20490.74000000,1572.69000000
20483.62000000,1578.48000000
20151.84000000,1518.34000000
20207.82000000,1531.01000000
21148.52000000,1644.78000000
21299.37000000,1626.98000000
20905.58000000,1568.29000000
20591.13000000,1568.10000000
18547.23000000,1334.77000000
15922.81000000,1102.73000000
17601.15000000,1299.28000000
17070.31000000,1289.28000000
16812.08000000,1257.25000000
16329.85000000,1221.49000000
16619.46000000,1243.28000000
16900.57000000,1253.23000000
16662.76000000,1216.17000000
16692.56000000,1200.43000000
16700.45000000,1212.58000000
16700.68000000,1217.67000000
16280.23000000,1142.21000000
15781.29000000,1107.34000000
16226.94000000,1139.60000000
16603.11000000,1184.52000000
16598.95000000,1203.73000000
16522.14000000,1199.30000000
16458.57000000,1205.60000000
16428.78000000,1193.88000000
16212.91000000,1167.77000000
16442.53000000,1216.49000000
17163.64000000,1294.46000000
16977.37000000,1276.41000000
17092.74000000,1295.59000000
16885.20000000,1240.51000000
17105.70000000,1279.41000000
16966.35000000,1259.41000000
17088.96000000,1271.32000000
16836.64000000,1231.18000000
17224.10000000,1280.18000000
17128.56000000,1263.10000000
17127.49000000,1266.35000000
17085.05000000,1263.01000000
17209.83000000,1275.40000000
17774.70000000,1320.69000000
17803.15000000,1307.44000000
17356.34000000,1266.54000000
16632.12000000,1166.83000000
16776.52000000,1187.16000000
16738.21000000,1183.06000000
16438.88000000,1167.82000000
16895.56000000,1216.94000000
16824.67000000,1213.78000000
16821.43000000,1217.71000000
16778.50000000,1219.99000000
16836.12000000,1220.41000000
16832.11000000,1218.51000000
16919.39000000,1228.11000000
16706.36000000,1211.55000000
16547.31000000,1190.15000000
16633.47000000,1200.49000000
16607.48000000,1199.99000000
16542.40000000,1196.13000000
16616.75000000,1200.34000000
16672.87000000,1214.00000000
16675.18000000,1214.55000000
16850.36000000,1256.90000000
16831.85000000,1251.24000000
16950.65000000,1269.14000000
16943.57000000,1264.07000000
17127.83000000,1290.16000000
17178.26000000,1320.39000000
17440.66000000,1335.62000000
17943.26000000,1389.39000000
18846.62000000,1415.92000000
19930.01000000,1451.20000000
20954.92000000,1549.90000000
20871.50000000,1552.52000000
21185.65000000,1576.94000000
21134.81000000,1565.57000000
20677.47000000,1511.43000000
21071.59000000,1551.09000000
22667.21000000,1658.52000000
22783.55000000,1626.66000000
22707.88000000,1627.44000000
22916.45000000,1626.29000000
22632.89000000,1555.97000000
23060.94000000,1611.94000000
23009.65000000,1601.09000000
23074.16000000,1597.62000000
23022.60000000,1572.10000000
23742.30000000,1644.72000000
22826.15000000,1566.20000000
23125.13000000,1585.33000000
23732.66000000,1641.68000000
23488.94000000,1643.12000000
23431.90000000,1663.52000000
23326.84000000,1666.38000000
22932.91000000,1629.02000000
22762.52000000,1614.29000000
23240.46000000,1671.03000000
22963.00000000,1650.43000000
21796.35000000,1545.35000000
21625.19000000,1513.06000000
21862.55000000,1538.51000000
21783.54000000,1514.83000000
21773.97000000,1505.24000000
22199.84000000,1555.71000000
24324.05000000,1674.92000000
23517.72000000,1637.84000000
24569.97000000,1693.87000000
24631.95000000,1691.62000000
24271.76000000,1679.75000000
24842.20000000,1703.27000000
24452.16000000,1659.76000000
24182.21000000,1643.14000000
23940.20000000,1650.53000000
23185.29000000,1607.80000000
23157.07000000,1594.58000000
23554.85000000,1641.36000000
23492.09000000,1633.45000000
23141.57000000,1605.23000000
23628.97000000,1665.22000000
23465.32000000,1647.86000000
22354.34000000,1569.45000000
22346.57000000,1566.73000000
22430.24000000,1564.58000000
22410.00000000,1565.84000000
22197.96000000,1561.96000000
21705.44000000,1532.38000000
20362.22000000,1437.32000000
20150.69000000,1426.44000000
20455.73000000,1471.97000000
21997.11000000,1580.33000000
24113.48000000,1673.45000000
24670.41000000,1699.40000000
24285.66000000,1649.96000000
24998.78000000,1673.73000000
26394.01000000,1727.00000000
