BTCUSDT,ETHUSDT
4086.29000000,299.10000000
4310.01000000,348.13000000
4509.08000000,341.77000000
4130.37000000,293.50000000
3699.99000000,257.55000000
3660.02000000,282.00000000
4378.48000000,303.95000000
4640.00000000,311.07000000
5709.99000000,337.96000000
5950.02000000,293.79000000
6169.98000000,305.00000000
7345.01000000,295.53000000
5811.03000000,305.24000000
8038.00000000,354.15000000
9128.02000000,462.84000000
11165.41000000,460.30000000
14899.98000000,427.35000000
18860.02000000,707.64000000
13500.00000000,658.00000000
13716.36000000,733.98000000
16150.03000000,1123.09000000
13474.99000000,1347.00000000
11530.00000000,1049.00000000
11879.95000000,1251.96000000
8184.81000000,823.56000000
8063.88000000,808.99000000
10383.43000000,911.00000000
9590.00000000,841.19000000
11515.00000000,866.66000000
9533.57000000,720.85000000
8189.99000000,537.00000000
8470.15000000,523.74000000
6813.01000000,378.58000000
7018.00000000,400.40000000
8355.00000000,533.88000000
8787.02000000,620.92000000
9419.00000000,690.85000000
9659.01000000,794.30000000
8679.71000000,729.08000000
8526.98000000,716.16000000
7338.99000000,570.40000000
7714.26000000,619.66000000
6764.99000000,524.11000000
6449.61000000,497.14000000
6136.97000000,454.41000000
6356.81000000,452.10000000
6712.10000000,486.77000000
6353.01000000,449.78000000
7394.79000000,457.47000000
8211.00000000,466.40000000
7024.19000000,408.79000000
6308.33000000,317.89000000
6477.53000000,299.42000000
6700.00000000,274.29000000
7302.01000000,295.41000000
6250.81000000,195.81000000
6505.00000000,220.17000000
6708.00000000,244.50000000
6626.57000000,232.94000000
6615.26000000,226.14000000
6339.34000000,197.01000000
6590.11000000,207.49000000
6489.93000000,204.99000000
6485.85000000,212.11000000
6449.81000000,212.54000000
5662.00000000,178.97000000
4085.78000000,118.67000000
4161.01000000,116.57000000
3545.37000000,93.26000000
3228.67000000,84.67000000
3929.71000000,129.03000000
3801.91000000,137.77000000
3987.60000000,153.86000000
3476.81000000,114.16000000
3539.28000000,117.47000000
3550.84000000,112.05000000
3458.11000000,107.36000000
3680.06000000,125.12000000
3667.58000000,133.75000000
3743.56000000,132.10000000
3807.75000000,130.60000000
3916.82000000,135.37000000
3981.14000000,138.67000000
3992.18000000,136.09000000
4103.95000000,141.38000000
5170.27000000,174.21000000
5131.30000000,167.23000000
5256.14000000,168.59000000
5307.52000000,157.85000000
5775.62000000,163.05000000
6967.31000000,188.11000000
8148.48000000,259.51000000
8614.43000000,264.45000000
8725.98000000,268.88000000
7628.13000000,230.98000000
8953.33000000,267.73000000
10906.07000000,308.52000000
10854.10000000,292.70000000
11406.24000000,304.72000000
10174.18000000,225.85000000
10589.45000000,225.38000000
9541.54000000,211.62000000
10929.23000000,221.79000000
11549.97000000,216.42000000
10306.78000000,194.33000000
10142.69000000,186.54000000
9724.98000000,170.74000000
10381.18000000,181.19000000
10302.01000000,189.03000000
10028.87000000,211.20000000
8043.82000000,169.24000000
7854.25000000,170.10000000
8275.01000000,180.99000000
8223.35000000,175.22000000
9529.93000000,183.75000000
9194.71000000,181.54000000
9039.47000000,188.96000000
8502.40000000,183.82000000
6903.28000000,139.96000000
7390.89000000,150.73000000
7510.11000000,150.44000000
7118.59000000,142.46000000
7501.44000000,132.09000000
7388.24000000,134.36000000
7358.75000000,135.37000000
8184.98000000,146.54000000
8701.70000000,166.79000000
8615.00000000,167.86000000
9331.51000000,188.44000000
10151.75000000,228.49000000
9917.27000000,258.85000000
9936.40000000,274.48000000
8531.88000000,217.81000000
8033.31000000,199.43000000
5361.30000000,123.78000000
5816.19000000,122.32000000
5881.42000000,124.50000000
6772.78000000,142.68000000
6903.79000000,158.59000000
7120.74000000,180.03000000
7693.10000000,197.38000000
8894.16000000,209.86000000
8722.77000000,187.54000000
9680.04000000,207.00000000
8720.34000000,199.90000000
9448.27000000,231.57000000
9746.99000000,244.56000000
9342.10000000,231.77000000
9294.69000000,228.04000000
9116.35000000,224.93000000
9069.41000000,227.56000000
9302.75000000,242.79000000
9208.99000000,239.11000000
9931.54000000,311.00000000
11071.35000000,372.42000000
11681.68000000,390.14000000
11911.00000000,433.62000000
11648.13000000,390.71000000
11711.16000000,428.94000000
10256.20000000,352.80000000
10332.83000000,366.42000000
10920.28000000,371.04000000
10774.25000000,357.49000000
10666.63000000,352.37000000
11369.02000000,374.16000000
11503.14000000,378.11000000
13028.83000000,405.86000000
13761.50000000,396.67000000
15475.10000000,454.30000000
15957.00000000,448.08000000
18414.43000000,560.03000000
18184.99000000,576.30000000
19359.40000000,601.54000000
19174.99000000,590.70000000
23455.52000000,638.18000000
26281.66000000,685.11000000
33000.05000000,978.28000000
38150.02000000,1254.25000000
35828.61000000,1232.45000000
32259.90000000,1392.51000000
33092.98000000,1312.55000000
38795.69000000,1611.62000000
48577.79000000,1800.42000000
57408.57000000,1933.53000000
45135.66000000,1419.18000000
50971.75000000,1726.16000000
58968.31000000,1848.10000000
57351.56000000,1782.98000000
55777.63000000,1687.01000000
58202.01000000,2075.69000000
60002.43000000,2151.36000000
56150.01000000,2235.64000000
49066.77000000,2320.49000000
56578.21000000,2949.56000000
58240.84000000,3923.95000000
46431.50000000,3582.10000000
34655.25000000,2096.39000000
35641.27000000,2385.98000000
35796.31000000,2711.92000000
39020.57000000,2509.33000000
35600.16000000,2243.47000000
34700.34000000,1982.28000000
35286.51000000,2322.69000000
34258.99000000,2140.45000000
31778.56000000,1891.64000000
35381.02000000,2189.79000000
39845.44000000,2555.69000000
43794.37000000,3011.85000000
46973.82000000,3307.09000000
49239.22000000,3238.00000000
48767.83000000,3223.47000000
51756.88000000,3950.29000000
46025.24000000,3404.21000000
47241.75000000,3328.62000000
43160.90000000,3059.37000000
48200.01000000,3417.73000000
54659.00000000,3414.22000000
61528.33000000,3846.85000000
60852.22000000,4082.33000000
61299.80000000,4287.21000000
63273.59000000,4612.59000000
65519.10000000,4626.50000000
58622.02000000,4258.31000000
57274.88000000,4294.78000000
49396.33000000,4196.44000000
50053.90000000,4130.00000000
46681.23000000,3924.14000000
50775.49000000,4063.56000000
47286.18000000,3828.27000000
41864.62000000,3151.97000000
43071.66000000,3346.88000000
36244.55000000,2539.01000000
37881.76000000,2601.68000000
42380.87000000,3054.99000000
42053.66000000,2871.13000000
38386.89000000,2621.99000000
37699.07000000,2616.79000000
38420.81000000,2551.29000000
37777.34000000,2515.65000000
41262.11000000,2861.38000000
46827.76000000,3295.65000000
46407.35000000,3521.91000000
42158.85000000,3203.04000000
39678.12000000,2988.06000000
39450.13000000,2921.00000000
38468.35000000,2824.81000000
34038.40000000,2519.71000000
31328.89000000,2145.29000000
30293.94000000,2043.19000000
29468.10000000,1813.64000000
29919.21000000,1806.23000000
26574.53000000,1434.84000000
20574.00000000,1128.53000000
21038.07000000,1197.79000000
19315.83000000,1074.26000000
20862.47000000,1168.36000000
20798.16000000,1338.65000000
22579.68000000,1597.70000000
23293.32000000,1678.12000000
23174.39000000,1700.19000000
24305.24000000,1935.31000000
21515.61000000,1618.13000000
19555.61000000,1426.76000000
20000.30000000,1579.28000000
21826.87000000,1766.11000000
19416.18000000,1334.51000000
18807.38000000,1294.63000000
19056.80000000,1276.72000000
19439.02000000,1323.13000000
19262.98000000,1305.95000000
19570.40000000,1364.20000000
20627.48000000,1590.44000000
20905.58000000,1568.29000000
16329.85000000,1221.49000000
16280.23000000,1142.21000000
16428.78000000,1193.88000000
17105.70000000,1279.41000000
17085.05000000,1263.01000000
16738.21000000,1183.06000000
16832.11000000,1218.51000000
16616.75000000,1200.34000000
17127.83000000,1290.16000000
20871.50000000,1552.52000000
22707.88000000,1627.44000000
23742.30000000,1644.72000000
22932.91000000,1629.02000000
21783.54000000,1514.83000000
24271.76000000,1679.75000000
23554.85000000,1641.36000000
22430.24000000,1564.58000000
21997.11000000,1580.33000000
26089.27000000,1713.29000000
